game_id,game_date,game_type,champioship_id,category,home_division,home_team_id,home_team_name,home_club,home_score,away_team_id,away_team_name,away_division,away_club,away_score,championship_name
123,2012-09-01 00:00:00,1,13,NULL,NULL,77,NULL,NULL,15,78,NULL,NULL,NULL,10,Friendlies
146,2012-09-08 00:00:00,1,13,NULL,2,89,FAU M,FAU Rugby Men,17,90,UM-M,2,UM Men,5,Friendlies
147,2012-09-15 00:00:00,1,13,NULL,2,93,Ave Maria,Ave Maria,17,89,FAU M,2,FAU Rugby Men,34,Friendlies
154,2012-09-22 00:00:00,1,13,NULL,2,102,USF-M,USF M,29,101,Tampa Krewe,2,Tampa Krewe,12,Friendlies
167,2012-09-28 00:00:00,1,13,NULL,3,116,Gainesville,Gainesville Hogs,26,115,UF-M 2012/13,1,UF Men,20,Friendlies
210,2012-09-29 00:00:00,1,13,NULL,2,98,FGCU-M,FGCU,19,93,Ave Maria,2,Ave Maria,5,Friendlies
148,2012-09-29 00:00:00,1,13,NULL,2,92,Ft. Lauderdale,Ft. Lauderdale,27,91,Miami Tridents,2,Miami Tridents,7,Friendlies
153,2012-09-29 00:00:00,1,13,NULL,2,99,Naples Men,Hammerheads,21,100,Orlando ,2,Orlando RFC,7,Friendlies
77,2012-09-29 00:00:00,2,11,Men,2,61,USF-W,USF - W,17,63,FAU-W,2,FAU Rugby W,17,2012 Fall Collegiate Women
157,2012-09-29 00:00:00,1,13,NULL,2,106,FSU W,Florida State W,36,105,U of Alabama W,4,Out of State,7,Friendlies
161,2012-09-29 00:00:00,1,13,NULL,2,109,Gulf Coast W,FGCU Women,0,104,Eckerd -W,2,Eckerd Rugby W,10,Friendlies
163,2012-10-06 00:00:00,1,13,NULL,2,112,FIU-W,FIU W,85,109,Gulf Coast W,2,FGCU Women,5,Friendlies
81,2012-10-06 00:00:00,1,11,NULL,2,66,UCF-W,UCF W,51,67,Eckerd -W,2,Eckerd Rugby W,15,2012 Fall Collegiate Women
150,2012-10-06 00:00:00,1,13,NULL,2,89,FAU M,FAU Rugby Men,24,95,FAU Alumni,4,FAU Rugby Men,33,Friendlies
211,2012-10-06 00:00:00,1,13,NULL,3,122,Treasure Coast,Treasure Coast Armada,0,123,Treasure Coast OB,4,Treasure Coast Armada,40,Friendlies
214,2012-10-06 00:00:00,1,13,NULL,3,107,Palm Beach,Palm Beach,32,126,Boca Raton RFC  DII ,2,Boca Raton,17,Friendlies
124,2012-10-06 00:00:00,2,10,Men,2,52,FGCU-M,FGCU,12,55,USF-M,2,USF M,27,2012 Fall Collegiate Men Florida Cup
71,2012-10-06 00:00:00,2,10,Men,2,60,UM-M,UM Men,0,59,UCF-M,2,UCF M,87,2012 Fall Collegiate Men Florida Cup
72,2012-10-06 00:00:00,1,10,NULL,2,57,FAU M,FAU Rugby Men,38,56,Ave Maria,2,Ave Maria,0,2012 Fall Collegiate Men Florida Cup
155,2012-10-06 00:00:00,1,13,NULL,2,99,Naples Men,Hammerheads,22,96,Miami Rugby,2,Miami Rugby FC,6,Friendlies
76,2012-10-12 00:00:00,2,10,Men,2,59,UCF-M,UCF M,81,58,FIU-M,2,FIU M,22,2012 Fall Collegiate Men Florida Cup
215,2012-10-13 00:00:00,1,13,NULL,2,98,FGCU-M,FGCU,56,125,Eckerd ,2,Eckerd Rugby M,12,Friendlies
217,2012-10-13 00:00:00,1,13,NULL,2,96,Miami Rugby,Miami Rugby FC,10,92,Ft. Lauderdale,2,Ft. Lauderdale,30,Friendlies
218,2012-10-13 00:00:00,1,13,NULL,2,89,FAU M,FAU Rugby Men,33,128,Tenessee State,2,Out of State,29,Friendlies
220,2012-10-13 00:00:00,1,13,NULL,2,99,Naples Men,Hammerheads,19,129,Bahamas,2,Out of State,5,Friendlies
