game_id,game_date,game_type,champioship_id,category,home_division,home_team_id,home_team_name,home_club,home_score,away_team_id,away_team_name,away_division,away_club,away_score,championship_name,season,home_divsion,away_divsion,home_elo,away_elo,elo_change,margin
146,2012-09-08,1,13,,2.0,89,FAU M,FAU Rugby Men,17,90,UM-M,2.0,UM Men,5,Friendlies,2013,2.0,2.0,1500,1500,0,12
147,2012-09-15,1,13,,2.0,93,Ave Maria,Ave Maria,17,89,FAU M,2.0,FAU Rugby Men,34,Friendlies,2013,2.0,2.0,1500,1500,0,-17
154,2012-09-22,1,13,,2.0,102,USF-M,USF M,29,101,Tampa Krewe,2.0,Tampa Krewe,12,Friendlies,2013,2.0,2.0,1500,1500,0,17
167,2012-09-28,1,13,,3.0,116,Gainesville,Gainesville Hogs,26,115,UF-M 2012/13,1.0,UF Men,20,Friendlies,2013,3.0,1.0,1500,1500,0,6
210,2012-09-29,1,13,,2.0,98,FGCU-M,FGCU,19,93,Ave Maria,2.0,Ave Maria,5,Friendlies,2013,2.0,2.0,1500,1500,0,14
148,2012-09-29,1,13,,2.0,92,Ft. Lauderdale,Ft. Lauderdale,27,91,Miami Tridents,2.0,Miami Tridents,7,Friendlies,2013,2.0,2.0,1500,1500,0,20
153,2012-09-29,1,13,,2.0,99,Naples Men,Hammerheads,21,100,Orlando ,2.0,Orlando RFC,7,Friendlies,2013,2.0,2.0,1500,1500,0,14
77,2012-09-29,2,11,Men,2.0,61,USF-W,USF - W,17,63,FAU-W,2.0,FAU Rugby W,17,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,0
157,2012-09-29,1,13,,2.0,106,FSU W,Florida State W,36,105,U of Alabama W,4.0,Out of State,7,Friendlies,2013,2.0,4.0,1500,1500,0,29
161,2012-09-29,1,13,,2.0,109,Gulf Coast W,FGCU Women,0,104,Eckerd -W,2.0,Eckerd Rugby W,10,Friendlies,2013,2.0,2.0,1500,1500,0,-10
155,2012-10-06,1,13,,2.0,99,Naples Men,Hammerheads,22,96,Miami Rugby,2.0,Miami Rugby FC,6,Friendlies,2013,2.0,2.0,1500,1500,0,16
72,2012-10-06,1,10,,2.0,57,FAU M,FAU Rugby Men,38,56,Ave Maria,2.0,Ave Maria,0,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,38
71,2012-10-06,2,10,Men,2.0,60,UM-M,UM Men,0,59,UCF-M,2.0,UCF M,87,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-87
124,2012-10-06,2,10,Men,2.0,52,FGCU-M,FGCU,12,55,USF-M,2.0,USF M,27,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-15
81,2012-10-06,1,11,,2.0,66,UCF-W,UCF W,51,67,Eckerd -W,2.0,Eckerd Rugby W,15,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,36
211,2012-10-06,1,13,,3.0,122,Treasure Coast,Treasure Coast Armada,0,123,Treasure Coast OB,4.0,Treasure Coast Armada,40,Friendlies,2013,3.0,4.0,1500,1500,0,-40
150,2012-10-06,1,13,,2.0,89,FAU M,FAU Rugby Men,24,95,FAU Alumni,4.0,FAU Rugby Men,33,Friendlies,2013,2.0,4.0,1500,1500,0,-9
163,2012-10-06,1,13,,2.0,112,FIU-W,FIU W,85,109,Gulf Coast W,2.0,FGCU Women,5,Friendlies,2013,2.0,2.0,1500,1500,0,80
214,2012-10-06,1,13,,3.0,107,Palm Beach,Palm Beach,32,126,Boca Raton RFC  DII ,2.0,Boca Raton,17,Friendlies,2013,3.0,2.0,1500,1500,0,15
76,2012-10-12,2,10,Men,2.0,59,UCF-M,UCF M,81,58,FIU-M,2.0,FIU M,22,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,59
82,2012-10-13,1,11,,2.0,64,FIU-W,FIU W,30,65,UM W,2.0,UM Women,0,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,30
84,2012-10-13,2,11,Men,2.0,67,Eckerd -W,Eckerd Rugby W,24,62,UF W,2.0,UF Women,17,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,7
83,2012-10-13,2,11,Men,2.0,68,FSU W,Florida State W,52,66,UCF-W,2.0,UCF W,0,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,52
75,2012-10-13,2,10,Men,2.0,60,UM-M,UM Men,24,56,Ave Maria,2.0,Ave Maria,12,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,12
220,2012-10-13,1,13,,2.0,99,Naples Men,Hammerheads,19,129,Bahamas,2.0,Out of State,5,Friendlies,2013,2.0,2.0,1500,1500,0,14
218,2012-10-13,1,13,,2.0,89,FAU M,FAU Rugby Men,33,128,Tenessee State,2.0,Out of State,29,Friendlies,2013,2.0,2.0,1500,1500,0,4
217,2012-10-13,1,13,,2.0,96,Miami Rugby,Miami Rugby FC,10,92,Ft. Lauderdale,2.0,Ft. Lauderdale,30,Friendlies,2013,2.0,2.0,1500,1500,0,-20
215,2012-10-13,1,13,,2.0,98,FGCU-M,FGCU,56,125,Eckerd ,2.0,Eckerd Rugby M,12,Friendlies,2013,2.0,2.0,1500,1500,0,44
74,2012-10-13,2,10,Men,2.0,55,USF-M,USF M,9,54,UNF-M,2.0,UNF RFC,33,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-24
96,2012-10-20,5,10,College Women,2.0,57,FAU M,FAU Rugby Men,15,55,USF-M,2.0,USF M,21,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-6
97,2012-10-20,5,10,College Women,2.0,58,FIU-M,FIU M,29,52,FGCU-M,2.0,FGCU,21,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,8
101,2012-10-21,5,10,College Women,2.0,58,FIU-M,FIU M,5,54,UNF-M,2.0,UNF RFC,74,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-69
98,2012-10-21,2,10,Men,2.0,57,FAU M,FAU Rugby Men,10,53,UF-M 2012/13,1.0,UF Men,58,2012 Fall Collegiate Men Florida Cup,2013,2.0,1.0,1500,1500,0,-48
99,2012-10-21,2,10,Men,2.0,59,UCF-M,UCF M,37,55,USF-M,2.0,USF M,3,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,34
104,2012-10-26,2,10,Men,2.0,54,UNF-M,UNF RFC,20,53,UF-M 2012/13,1.0,UF Men,19,2012 Fall Collegiate Men Florida Cup,2013,2.0,1.0,1500,1500,0,1
225,2012-10-27,1,13,,2.0,130,FIU M  'B',FIU M,22,131,UM Men   'B',2.0,UM Men,12,Friendlies,2013,2.0,2.0,1500,1500,0,10
224,2012-10-27,1,13,,2.0,102,USF-M,USF M,48,125,Eckerd ,2.0,Eckerd Rugby M,19,Friendlies,2013,2.0,2.0,1500,1500,0,29
105,2012-10-27,2,10,Men,2.0,59,UCF-M,UCF M,54,57,FAU M,2.0,FAU Rugby Men,0,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,54
106,2012-10-27,2,10,Men,2.0,58,FIU-M,FIU M,37,60,UM-M,2.0,UM Men,22,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,15
107,2012-11-02,2,10,Men,1.0,53,UF-M 2012/13,UF Men,33,55,USF-M,2.0,USF M,7,2012 Fall Collegiate Men Florida Cup,2013,1.0,2.0,1500,1500,0,26
254,2012-11-03,1,13,,2.0,114,Jacksonville-W,Jacksonville W,17,144,Savannah W,2.0,Out of State,25,Friendlies,2013,2.0,2.0,1500,1500,0,-8
255,2012-11-03,1,13,,2.0,146,Florida State,Florida State M,68,145,Valdosta,2.0,Out of State,12,Friendlies,2013,2.0,2.0,1500,1500,0,56
126,2012-11-03,2,9,Men,2.0,43,Tampa Krewe,Tampa Krewe,24,44,Orlando ,2.0,Orlando RFC,24,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,0
257,2012-11-03,1,13,,2.0,149,Florida State M 'B',Florida State M,53,148,Tallahassee U23,2.0,Tallahassee RFC,0,Friendlies,2013,2.0,2.0,1500,1500,0,53
258,2012-11-03,1,13,,2.0,151,Jacksonville,Jacksonville M,44,150,Pelicans DII,2.0,Pelicans,15,Friendlies,2013,2.0,2.0,1500,1500,0,29
256,2012-11-03,1,13,,2.0,109,Gulf Coast W,FGCU Women,0,147,Univ. Charleston W,2.0,Out of State,60,Friendlies,2013,2.0,2.0,1500,1500,0,-60
125,2012-11-03,2,9,Men,2.0,42,Jacksonville,Jacksonville M,44,45,Pelicans DII,2.0,Pelicans,15,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,29
87,2012-11-03,2,11,Men,2.0,68,FSU W,Florida State W,58,62,UF W,2.0,UF Women,5,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,53
49,2012-11-03,2,9,Men,2.0,46,Ft. Lauderdale,Ft. Lauderdale,21,50,Miami Tridents,2.0,Miami Tridents,3,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,18
108,2012-11-03,2,10,Men,2.0,54,UNF-M,UNF RFC,20,52,FGCU-M,2.0,FGCU,0,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,20
109,2012-11-03,2,10,Men,2.0,57,FAU M,FAU Rugby Men,55,60,UM-M,2.0,UM Men,5,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,50
50,2012-11-03,2,9,Men,2.0,48,Miami Rugby,Miami Rugby FC,3,49,Naples Men,2.0,Hammerheads,52,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,-49
86,2012-11-03,2,11,Men,2.0,63,FAU-W,FAU Rugby W,15,65,UM W,2.0,UM Women,0,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,15
110,2012-11-03,2,10,Men,2.0,56,Ave Maria,Ave Maria,43,58,FIU-M,2.0,FIU M,19,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,24
262,2012-11-09,1,13,,2.0,146,Florida State,Florida State M,17,155,Clenson Univ. 'A',2.0,Out of State,12,Friendlies,2013,2.0,2.0,1500,1500,0,5
114,2012-11-10,2,10,Men,2.0,58,FIU-M,FIU M,14,57,FAU M,2.0,FAU Rugby Men,51,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,-37
52,2012-11-10,2,9,Men,2.0,46,Ft. Lauderdale,Ft. Lauderdale,30,48,Miami Rugby,2.0,Miami Rugby FC,20,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,10
51,2012-11-10,2,9,Men,2.0,50,Miami Tridents,Miami Tridents,12,47,Boca Raton,2.0,Boca Raton,42,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,-30
127,2012-11-10,2,9,Men,2.0,45,Pelicans DII,Pelicans,48,41,Daytona,2.0,Daytona M,20,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,28
252,2012-11-10,1,13,,2.0,109,Gulf Coast W,FGCU Women,0,112,FIU-W,2.0,FIU W,47,Friendlies,2013,2.0,2.0,1500,1500,0,-47
259,2012-11-10,1,13,,2.0,102,USF-M,USF M,59,152,USF Alumni,2.0,USF M,51,Friendlies,2013,2.0,2.0,1500,1500,0,8
270,2012-11-10,1,13,,4.0,153,Key West  U19,Key West  Rugby,5,154,Miami Rugby U19,4.0,Miami Rugby Youth,43,Friendlies,2013,4.0,4.0,1500,1500,0,-38
268,2012-11-10,1,13,,2.0,151,Jacksonville,Jacksonville M,47,143,UNF-M,2.0,UNF RFC,20,Friendlies,2013,2.0,2.0,1500,1500,0,27
260,2012-11-10,1,13,,4.0,153,Key West  U19,Key West  Rugby,10,154,Miami Rugby U19,4.0,Miami Rugby Youth,49,Friendlies,2013,4.0,4.0,1500,1500,0,-39
277,2012-11-17,1,13,,2.0,162,UNF RFC 'B',UNF RFC,20,167,UF Men B,2.0,UF Men,41,Friendlies,2013,2.0,2.0,1500,1500,0,-21
165,2012-11-17,1,13,,2.0,114,Jacksonville-W,Jacksonville W,36,111,UF W,2.0,UF Women,10,Friendlies,2013,2.0,2.0,1500,1500,0,26
272,2012-11-17,6,10,HS Boys,2.0,59,UCF-M,UCF M,35,53,UF-M 2012/13,1.0,UF Men,13,2012 Fall Collegiate Men Florida Cup,2013,2.0,1.0,1500,1500,0,22
271,2012-11-17,6,10,HS Boys,2.0,54,UNF-M,UNF RFC,29,57,FAU M,2.0,FAU Rugby Men,12,2012 Fall Collegiate Men Florida Cup,2013,2.0,2.0,1500,1500,0,17
261,2012-11-17,1,13,,2.0,125,Eckerd ,Eckerd Rugby M,17,102,USF-M,2.0,USF M,30,Friendlies,2013,2.0,2.0,1500,1500,0,-13
129,2012-11-17,2,9,Men,2.0,41,Daytona,Daytona M,26,44,Orlando ,2.0,Orlando RFC,42,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,-16
253,2012-11-17,2,11,Men,2.0,64,FIU-W,FIU W,29,63,FAU-W,2.0,FAU Rugby W,12,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,17
54,2012-11-17,2,9,Men,2.0,50,Miami Tridents,Miami Tridents,23,48,Miami Rugby,2.0,Miami Rugby FC,22,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,1
53,2012-11-17,2,9,Men,2.0,47,Boca Raton,Boca Raton,15,49,Naples Men,2.0,Hammerheads,29,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,-14
89,2012-11-17,2,11,Men,2.0,67,Eckerd -W,Eckerd Rugby W,5,68,FSU W,2.0,Florida State W,39,2012 Fall Collegiate Women,2013,2.0,2.0,1500,1500,0,-34
130,2012-11-17,2,9,Men,2.0,45,Pelicans DII,Pelicans,8,43,Tampa Krewe,2.0,Tampa Krewe,42,2012/2013 FRU Mens Div II,2013,2.0,2.0,1500,1500,0,-34
