Game_ID,Championship_ID,Team_ID,Team_Name,Team_Score,Opponent_ID,Opponent_Name,Opponent_Score,Game_Date,Season,Is_Home,Team_Elo,Opponent_Elo,Elo_Change
49,9,6,Miami Tridents,3,5,Ft. Lauderdale,21,2012-11-03,2013,False,1505.0,1505.0,-10.0
51,9,6,Miami Tridents,12,12,Boca Raton,42,2012-11-10,2013,True,1505.0,1505.0,27.0
54,9,6,Miami Tridents,23,1,Miami Rugby FC,22,2012-11-17,2013,True,1460.0,1460.0,-2.0
58,9,6,Miami Tridents,22,13,Hammerheads,3,2012-12-08,2013,False,1470.0,1470.0,25.0
59,9,6,Miami Tridents,29,5,Ft. Lauderdale,20,2012-12-15,2013,True,1502.0,1502.0,-7.0
61,9,6,Miami Tridents,3,12,Boca Raton,38,2013-01-05,2013,False,1502.0,1502.0,-13.0
64,9,6,Miami Tridents,34,1,Miami Rugby FC,27,2013-01-12,2013,False,1489.0,1489.0,8.0
68,9,6,Miami Tridents,10,13,Hammerheads,34,2013-01-26,2013,True,1552.0,1552.0,20.0
148,13,6,Miami Tridents,7,5,Ft. Lauderdale,27,2012-09-29,2013,False,1477.0,1477.0,-11.0
520,13,6,Miami Tridents,29,2,FIU M,31,2013-02-02,2013,True,1416.0,1416.0,7.0
545,9,6,Miami Tridents,14,11,Orlando RFC,36,2013-02-09,2013,False,1459.0,1459.0,-9.0
559,9,6,Miami Tridents,19,7,Tampa Krewe,23,2013-02-16,2013,True,1542.0,1542.0,6.0
579,9,6,Miami Tridents,34,50,Daytona M,14,2013-03-09,2013,True,1514.0,1514.0,-15.0
648,23,6,Miami Tridents,41,11,Orlando RFC,14,2013-11-09,2014,False,1459.0,1459.0,28.0
651,23,6,Miami Tridents,28,7,Tampa Krewe,15,2013-11-16,2014,True,1515.0,1515.0,-9.0
660,23,6,Miami Tridents,18,12,Boca Raton,25,2013-11-23,2014,True,1477.0,1477.0,11.0
718,23,6,Miami Tridents,32,50,Daytona M,15,2014-01-18,2014,True,1476.0,1476.0,-10.0
720,23,6,Miami Tridents,27,13,Hammerheads,19,2014-01-25,2014,True,1594.0,1594.0,-9.0
735,23,6,Miami Tridents,10,5,Ft. Lauderdale,24,2014-02-08,2014,False,1504.0,1504.0,-9.0
744,23,6,Miami Tridents,29,8,Jacksonville M,25,2014-03-01,2014,False,1495.0,1495.0,8.0
750,23,6,Miami Tridents,20,5,Ft. Lauderdale,27,2014-03-08,2014,True,1529.0,1529.0,9.0
755,23,6,Miami Tridents,10,12,Boca Raton,28,2014-03-15,2014,False,1494.0,1494.0,-10.0
759,23,6,Miami Tridents,5,1,Miami Rugby FC,15,2014-03-22,2014,False,1484.0,1484.0,-5.0
762,27,6,Miami Tridents,43,1,Miami Rugby FC,29,2013-10-05,2014,True,1566.0,1566.0,-13.0
793,27,6,Miami Tridents,48,2,FIU M,19,2013-11-02,2014,True,1423.0,1423.0,-11.0
904,27,6,Miami Tridents,27,12,Boca Raton,15,2013-11-23,2014,True,1550.0,1550.0,-10.0
923,27,6,Miami Tridents,44,76,Palm Beach,31,2013-12-07,2014,True,1580.0,1580.0,-11.0
1161,40,6,Miami Tridents,23,5,Ft. Lauderdale,45,2014-12-06,2015,False,1524.0,1524.0,-10.0
1167,40,6,Miami Tridents,7,12,Boca Raton,35,2014-12-13,2015,False,1514.0,1514.0,-12.0
1168,40,6,Miami Tridents,52,11,Orlando RFC,25,2015-01-10,2015,True,1579.0,1579.0,-20.0
1175,40,6,Miami Tridents,20,5,Ft. Lauderdale,44,2015-01-17,2015,True,1577.0,1577.0,20.0
1178,40,6,Miami Tridents,16,1,Miami Rugby FC,10,2015-01-31,2015,True,1568.0,1568.0,-7.0
1182,40,6,Miami Tridents,41,13,Hammerheads,14,2015-02-07,2015,False,1509.0,1509.0,22.0
1183,40,6,Miami Tridents,30,8,Jacksonville M,15,2015-02-28,2015,True,1485.0,1485.0,-7.0
1189,40,6,Miami Tridents,20,7,Tampa Krewe,29,2015-03-07,2015,False,1538.0,1538.0,-10.0
1194,40,6,Miami Tridents,20,8,Jacksonville M,23,2015-03-21,2015,False,1528.0,1528.0,-5.0
1198,40,6,Miami Tridents,21,7,Tampa Krewe,14,2015-03-28,2015,True,1446.0,1446.0,-4.0
1283,43,6,Miami Tridents,12,5,Ft. Lauderdale,27,2014-12-06,2015,False,1527.0,1527.0,-5.0
1289,43,6,Miami Tridents,21,12,Boca Raton,43,2014-12-13,2015,False,1522.0,1522.0,-8.0
